"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"20327","42_2082","26",369061.756944444,1566.79199532688,26,NA,NA,369061.756944444,NA,NA,1566.79199532688,NA,NA,26570.5640715406,12905.6974964961,36.9061756944444,1566.79199532688,0,127.323954473516,795.774715459477,572.957795130823,70.7355302630646,0,0,0,0,16.9585778781038,8.23702031602709,17.3180468312585,9.44827586206897,373,42,2082,NA,920121,3,49,5,1,2,"S",920130,3,379,2,"0379J02","541","4610",91,71,"3","3","0","0","10",10,2,2,9,1,"80",70,26,6,8,2,3,2,43,4,2,0,3,NA,NA,NA,NA,NA,NA,26,1,1,30,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,4,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",170,NA,"1.50",NA,"IFN2",30,71,26,"19920121",1992,11
"20331","42_2090","26",78489.1875,795.774715459477,26,43,NA,78489.1875,52263.3125,NA,795.774715459477,795.774715459477,NA,16042.818263663,9963.09943755265,13.07525,1591.54943091895,0,1400.56349920868,190.985931710274,0,0,0,0,0,0,10.08,6.26,10.2275119163949,6.625,380,42,2090,NA,920121,3,17,5,2,2,"S",920130,3,379,2,"0379K02","542","4608",91,71,"3","3","0","0","10",10,3,3,9,1,"80",80,26,6,6,2,3,2,43,4,4,0,3,NA,NA,NA,NA,NA,NA,26,3,1,NA,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",360,NA,"3.25",NA,"IFN2",18,71,26,"19920121",1992,12
"20333","42_2091","26",187397.75,827.605704077856,26,43,NA,187397.75,7569,NA,827.605704077856,127.323954473516,NA,14954.1984529145,6143.38080334716,19.496675,954.929658551372,0,127.323954473516,509.295817894065,318.309886183791,0,0,0,0,0,15.66,6.43333333333333,16.123140719682,7.125,381,42,2091,NA,920121,3,27,4,2,2,"S",920130,3,379,2,"0379K03","543","4608",91,71,"6","6","0","0","10",10,2,5,9,1,"80",80,26,4,9,2,3,2,43,6,1,0,2,NA,NA,NA,NA,NA,NA,26,3,1,NA,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"P402",125,NA,"7.25",NA,"IFN2",28,71,26,"19920121",1992,12
"20335","42_2096","26",136941.5625,986.760647169751,26,NA,NA,136941.5625,NA,NA,986.760647169751,NA,NA,12714.8884036115,4599.57785535577,13.69415625,986.760647169751,0,381.971863420549,477.464829275686,127.323954473516,0,0,0,0,0,12.8854838709677,4.66129032258065,13.2928097226501,6.375,386,42,2096,NA,920122,3,22,5,3,2,"S",920130,3,379,2,"0379K03","544","4606",91,71,"3","3","0","0","10",10,3,4,9,1,"80",80,26,4,7,2,3,2,43,6,3,0,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,15,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,3,NA,1,NA,0,0,NA,NA,"01",385,NA,"6.50",NA,"IFN2",20,71,26,"19920122",1992,12
"20341","42_2106","26",27910.6875,127.323954473516,26,NA,NA,27910.6875,NA,NA,127.323954473516,NA,NA,2108.80299596761,572.957795130823,2.79106875,127.323954473516,0,0,63.6619772367581,63.6619772367581,0,0,0,0,0,16.5625,4.5,16.7064920016142,4.5,394,42,2106,NA,920122,3,4,4,1,2,"S",920130,2,379,2,"0379K03","543","4604",91,71,"3","3","0","0","10",10,2,1,9,1,"80",70,26,4,5,2,3,2,43,6,5,0,2,NA,NA,NA,NA,NA,NA,26,3,1,NA,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"P402",390,NA,"0.50",NA,"IFN2",19,71,26,"19920122",1992,11
"20342","42_2107","26",60831.0625,445.633840657307,26,NA,NA,60831.0625,NA,NA,445.633840657307,NA,NA,5772.54978594304,1878.02832848436,6.08310625,445.633840657307,0,254.647908947033,159.154943091895,31.8309886183791,0,0,0,0,0,12.9535714285714,4.21428571428571,13.1834379322803,5.25,395,42,2107,NA,920122,3,8,4,2,3,"S",920130,2,379,2,"0379K03","544","4604",91,71,"3","3","0","0","10",10,2,2,9,1,"80",70,26,4,5,2,3,2,43,6,5,0,2,NA,NA,NA,NA,NA,NA,26,3,1,NA,43,3,6,NA,NA,NA,NA,NA,26,43,45,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",85,NA,"1.00",NA,"IFN2",19,71,26,"19920122",1992,11
"20343","42_2109","26",28353.4375,159.154943091895,26,NA,NA,28353.4375,NA,NA,159.154943091895,NA,NA,2373.00020150016,907.183175623803,2.83534375,159.154943091895,0,0,127.323954473516,31.8309886183791,0,0,0,0,0,14.91,5.7,15.0607934717929,5.75,397,42,2109,NA,920122,3,5,4,1,4,"S",920130,2,379,2,"0379L02","541","4603",91,20,"3","3","0","0","10",10,2,3,9,1,"80",50,26,6,7,2,3,2,43,4,3,0,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,1,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",306,NA,"3.50",NA,"IFN2",20,20,26,"19920122",1992,11
"20345","42_2111","26",174841.5,1559.71844230057,26,43,NA,174841.5,5625,NA,1559.71844230057,127.323954473516,NA,19069.9452812709,8801.26835298181,18.04665,1687.04239677409,127.323954473516,1145.91559026165,381.971863420549,31.8309886183791,0,0,0,0,0,11.3037735849057,5.21698113207547,11.6705240703009,6.125,399,42,2111,NA,920122,3,23,4,3,3,"S",920130,2,379,2,"0379L03","543","4603",91,71,"3","3","0","0","10",10,2,4,9,1,"80",85,26,4,6,2,3,2,43,6,4,0,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,15,95,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",55,NA,"4.75",NA,"IFN2",20,71,26,"19920122",1992,12
"20349","42_2112","26",249764.75,1443.00481736652,26,43,NA,249764.75,60399.25,NA,1443.00481736652,1018.59163578813,NA,29455.335834494,15475.165633302,31.0164,2461.59645315465,0,1527.8874536822,572.957795130823,318.309886183791,42.4413181578388,0,0,0,0,11.9659482758621,6.28663793103448,12.6660828661593,8,400,42,2112,NA,920122,3,43,6,1,1,"S",920130,2,379,2,"0379L03","544","4603",91,20,"3","3","0","0","10",10,1,1,9,1,"80",80,26,4,6,2,3,2,43,6,4,0,3,NA,NA,NA,NA,NA,NA,26,1,2,21,43,3,6,NA,NA,NA,NA,NA,26,43,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,2,NA,0,0,NA,NA,"01",188,NA,"0.50",NA,"IFN2",21,20,26,"19920122",1992,11
"20359","42_2114","26",24771.125,159.154943091895,26,43,NA,24771.125,6724,NA,159.154943091895,127.323954473516,NA,3278.59182769304,1543.80294799138,3.1495125,286.478897565412,0,127.323954473516,159.154943091895,0,0,0,0,0,0,11.4444444444444,5.38888888888889,11.8312439469962,5.75,402,42,2114,NA,920122,3,6,4,3,1,"S",920130,2,379,2,"0379L02","542","4602",91,20,"3","3","0","0","10",10,3,4,9,1,"80",80,26,4,5,2,3,4,43,2,5,0,2,NA,NA,NA,NA,NA,NA,26,1,2,20,43,3,6,NA,NA,NA,NA,NA,26,43,15,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",84,NA,"6.25",NA,"IFN2",20,20,26,"19920122",1992,12
