"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"288081",16,2992,1,4," 6.8",26,242,242,8,2,2,"","IFN2","16_2992","16_2992_1","IFN2_16_2992_1",24.2,14.1471060526129,459.960580412082
"288082",16,2992,2,293," 8.4",26,171,185,7,2,2,"","IFN2","16_2992","16_2992_2","IFN2_16_2992_2",17.8,31.8309886183791,248.845554090848
"288083",16,2992,3,398,"23.3",24,418,470,11.5,2,2,"","IFN2","16_2992","16_2992_3","IFN2_16_2992_3",44.4,5.09295817894065,1548.30252339519
"350757",19,238,1,10," 9.7",26,136,141,5,2,3,"","IFN2","19_238","19_238_1","IFN2_19_238_1",13.85,31.8309886183791,150.657039198307
"350758",19,238,2,36," 6.4",26,125,129,6,2,3,"","IFN2","19_238","19_238_2","IFN2_19_238_2",12.7,31.8309886183791,126.676869774374
"350759",19,238,3,40," 5.7",26,149,152,6.5,2,3,"","IFN2","19_238","19_238_3","IFN2_19_238_3",15.05,31.8309886183791,177.894647504931
"350760",19,238,4,73," 4.9",26,177,176,7.5,2,2,"","IFN2","19_238","19_238_4","IFN2_19_238_4",17.65,31.8309886183791,244.669199356982
"350761",19,238,5,86," 5.0",26,147,148,6.5,2,3,"","IFN2","19_238","19_238_5","IFN2_19_238_5",14.75,31.8309886183791,170.873187924157
"350762",19,238,6,169," 7.4",26,182,178,5.5,2,3,"","IFN2","19_238","19_238_6","IFN2_19_238_6",18,31.8309886183791,254.469004940773
"350763",19,238,7,291," 5.1",26,129,132,4.5,2,3,"","IFN2","19_238","19_238_7","IFN2_19_238_7",13.05,31.8309886183791,133.755270721994
"350764",19,238,8,342," 9.4",26,135,134,6,2,3,"","IFN2","19_238","19_238_8","IFN2_19_238_8",13.45,31.8309886183791,142.080491254007
"350765",19,238,9,346," 9.3",26,139,137,6.5,2,3,"","IFN2","19_238","19_238_9","IFN2_19_238_9",13.8,31.8309886183791,149.57122623741
"350766",19,238,10,372," 8.1",26,232,224,7.5,2,2,"","IFN2","19_238","19_238_10","IFN2_19_238_10",22.8,14.1471060526129,408.28138126053
"350767",19,238,11,375," 4.2",26,233,223,9.5,2,2,"","IFN2","19_238","19_238_11","IFN2_19_238_11",22.8,14.1471060526129,408.28138126053
